"slug","title","company","location","work_mode","employment_type","database_category","suggested_category","suggested_score","secondary_categories","matched_terms","summary","apply_url"
"gtm-devops-engineer-clickup","GTM DevOps Engineer","ClickUp","United States","remote","full_time","DevOps / SRE","Cloud & Infrastructure","18","","title:devops engineer | text:sre | title:devops","GTM DevOps Engineer role supporting revenue systems, customer operations automation, and technical workflow improvements.","https://jobs.ashbyhq.com/clickup/ec1b5de9-91bd-45a8-abfd-e8b2543433c0"
"staff-devops-engineer-the-athletic","Staff DevOps Engineer","The Athletic","United States","remote","full_time","DevOps / SRE","Cloud & Infrastructure","26","","title:devops engineer | text:sre | description:cloud | summary:infrastructure | title:devops | summary:reliability","Staff DevOps Engineer role supporting infrastructure, reliability, and engineering operations for a major sports media platform.","https://jobs.lever.co/theathletic/93db23fa-54ea-481e-93f2-074180035fc1"
"devops-engineer-mangomint","DevOps Engineer","Mangomint","United States","remote","full_time","DevOps / SRE","Cloud & Infrastructure","27","","title:devops engineer | text:sre | summary:cloud | summary:infrastructure | title:devops | summary:reliability","DevOps Engineer role supporting infrastructure, release automation, production reliability, and cloud operations for a SaaS platform.","https://jobs.ashbyhq.com/mangomint/e7dd898c-10fc-41c8-ab44-8bc5e6ffe005"
"staff-devops-engineer-developer-infrastructure-luxury-presence","Staff DevOps Engineer - Developer Infrastructure","Luxury Presence","United States","remote","full_time","DevOps / SRE","Cloud & Infrastructure","31","Technology & Engineering","summary:infrastructure engineer | title:devops engineer | text:sre | description:cloud | title:infrastructure | title:devops","Staff DevOps Engineer role focused on developer infrastructure, engineering productivity, and remote platform operations.","https://jobs.lever.co/luxurypresence/874c2c77-44ed-4f23-ac9d-e21fad79028e"
"senior-configuration-engineer-product-appsec-veeam-software","Senior Configuration Engineer, Product AppSec","Veeam Software","Remote, United States","remote","full_time","Cybersecurity","Cybersecurity","24","Technology & Engineering","text:cybersecurity | summary:application security | summary:security | db_category:Cybersecurity","Senior Product Application Security configuration role supporting release engineering, platform engineering, Azure DevOps, and secure software supply chain workflows.","https://boards.greenhouse.io/veeamsoftware/jobs/4744813101"
"sr-infrastructure-security-engineer-prosper","Sr. Infrastructure Security Engineer","Prosper","United States","remote","full_time","Cybersecurity","Cybersecurity","55","","text:cybersecurity | title:security engineer | title:infrastructure security | summary:cloud security | summary:endpoint security | title:security | summary:risk reduction | db_category:Cybersecurity","Senior Infrastructure Security Engineer role focused on cloud security, endpoint security, GCP, Azure, Terraform, and risk reduction.","https://jobs.lever.co/prosper/f7b49eca-94cd-4bef-8066-6399bf6b6f16"
"security-engineer-cloud-ramp","Security Engineer, Cloud","Ramp","New York, NY / Miami, FL / Remote US","hybrid","full_time","Cybersecurity","Cybersecurity","48","","text:cybersecurity | title:security engineer | summary:infrastructure security | summary:cloud security | description:vulnerability management | title:security | description:vulnerability | db_category:Cybersecurity","Cloud Security Engineer role supporting cloud infrastructure security, security automation, and platform protection for a financial technology company.","https://jobs.ashbyhq.com/ramp/34413f8d-26bf-4bbc-8ade-eb309a0e2245"
"application-security-engineer-easypost","Application Security Engineer","EasyPost","Remote","remote","full_time","Cybersecurity","Cybersecurity","52","Technology & Engineering","text:cybersecurity | title:security engineer | title:application security | summary:vulnerability management | title:security | summary:vulnerability | summary:security practices | db_category:Cybersecurity","Application Security Engineer role strengthening software security, vulnerability management, and developer security practices for a shipping API platform.","https://jobs.lever.co/easypost-2/12a93c1a-2dbb-4d5a-b0c6-38518b05eb90"
"senior-application-security-engineer-canary-technologies","Senior Application Security Engineer","Canary Technologies","United States","remote","full_time","Cybersecurity","Cybersecurity","40","","text:cybersecurity | title:security engineer | title:application security | title:security | db_category:Cybersecurity","Senior Application Security Engineer role embedding security into software development for a hospitality technology platform.","https://jobs.lever.co/canarytechnologies/04709e11-b0fe-4cb0-b38b-764b1f939b36"
"sr-application-security-engineer-lumin-digital","Sr. Application Security Engineer","Lumin Digital","Remote - United States","remote","full_time","Cybersecurity","Cybersecurity","42","","text:cybersecurity | title:security engineer | title:application security | title:security | description:vulnerability | db_category:Cybersecurity","Senior Application Security Engineer role securing a B2B2C SaaS platform across the software development lifecycle.","https://jobs.lever.co/LuminDigital/b1229ea3-a255-444a-bdc0-bcf8bc0046fd"
